POs,Category,Program Outcomes
PO1,Engineering Knowledge,"{Apply the knowledge of mathematics, science, engineering fundamentals and an engineering specialization to the solution of complex engineering problems.}"
PO2,Problem Analysis,"{Identify, formulate, research the literature and analyze complex engineering problems and reach substantiated conclusions using first principles of mathematics, the natural sciences and the engineering sciences.}"
PO3,Design/Development of Solutions,"{Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety as well as cultural, societal and environmental concerns.}"
PO4,Investigations,"{Conduct investigations of complex problems, considering design of experiments, analysis and interpretation of data and synthesis of information to provide valid conclusions.}"
PO5,Modern tool usage,"{Create, select and apply appropriate techniques, resources and modern engineering and IT tools including prediction and modeling to complex engineering activities with an understanding of the limitations.}"
PO6,The engineer and society,"{Apply reasoning informed by contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to professional engineering practice.}"
PO7,Environment and sustainability,"{Understand the impact of professional engineering solutions in societal and environmental contexts and demonstrate the knowledge of, and need for sustainable development.}"
PO8,Ethics,"{Apply ethical principles and commit to professional ethics, responsibilities and the norms of the engineering practice.}"
PO9,Individual work and teamwork,{Function effectively as an individual and as a member or leader of diverse teams as well as in multidisciplinary settings.}
PO10,Communication,"{Communicate effectively about complex engineering activities with the engineering community and with society at large. Be able to comprehend and write effective reports, design documentation, make effective presentations and give and receive clear instructions.}"
PO11,Project management and finance,{Demonstrate knowledge and understanding of the engineering and management principles and apply these to one's own work as a member or a leader of a team to manage projects in multidisciplinary environments.}
PO12,Life Long Learning,"{Recognize the need for and have the preparation and ability to engage in independent, life-long learning in the broadest context of technological change.}"
